index, km_v, km_h, km_c, km_adjustRand, ag_v, ag_adjustedRand, sc_v, sc_adjustedRand, maxFeature, numDocs, date 
crisis3, 0.4373436660459516, 0.3972047514626144, 0.4865068685757895, 0.2555280067785744, 0.2429532087617132, 0.01110505942223427, 0.04969025276027537, 0.002394628681158135, 2000, 1500, 2023-06-12 14:59:12.652310  
crisis3, 0.5460379819654521, 0.52018266244725, 0.5745979770673566, 0.4574505457094709, 0.2429532087617132, 0.01110505942223427, 0.04969025276027537, 0.002394628681158135, 2000, 1500, 2023-06-12 14:59:13.807297  
NG3, 0.9157677368292017, 0.9155806025743078, 0.9159549475959573, 0.9454557625206578, 0.31333727677098544, 0.02038017114335718, 0.8016078120185798, 0.8648317193532774, 2000, 1200, 2023-06-12 14:59:20.901294  
NG3, 0.9074967942196099, 0.9072186657800763, 0.9077750932445913, 0.9380958924728839, 0.31333727677098544, 0.02038017114335718, 0.8016078120185798, 0.8648317193532774, 2000, 1200, 2023-06-12 14:59:22.818844  
crisis4, 0.637404306468836, 0.6097983399681329, 0.6676282714908839, 0.49169638210014527, 0.2981639032098427, 0.013894568614353904, 0.04391614645242505, 0.001488697211471802, 2000, 2000, 2023-06-12 14:59:29.881932  
crisis4, 0.49896434370309817, 0.4638782429777944, 0.5397923148723862, 0.3732775865870413, 0.2981639032098427, 0.013894568614353904, 0.04391614645242505, 0.001488697211471802, 2000, 2000, 2023-06-12 14:59:32.600601  
R4, 0.3920086107255209, 0.3390965911279278, 0.4644861981168294, 0.18028423448452352, 0.4407114756586874, 0.07473326412609396, 0.2524357755288105, 0.058335699168718565, 2000, 800, 2023-06-12 14:59:35.892685  
R4, 0.3808314659457316, 0.3045089768643987, 0.5082097593927292, 0.14688178864688844, 0.4407114756586874, 0.07473326412609396, 0.2524357755288105, 0.058335699168718565, 2000, 800, 2023-06-12 14:59:36.645269  
NG5, 0.7996883531919459, 0.795537314314867, 0.8038829387523421, 0.7760719125829447, 0.3689195138430364, 0.0227781012307777, 0.627936427465873, 0.5187440105577743, 2000, 2000, 2023-06-12 14:59:48.342433  
NG5, 0.7686147807318591, 0.759387369019093, 0.7780691977015376, 0.705259297701506, 0.3689195138430364, 0.0227781012307777, 0.6285132821809238, 0.517889657910932, 2000, 2000, 2023-06-12 14:59:54.009697  
R5, 0.595676171765079, 0.5681131305104135, 0.626050131964379, 0.49645951010818773, 0.4756525137798586, 0.11531409003699744, 0.3071193955471258, 0.14561010260853563, 2000, 500, 2023-06-12 14:59:56.016340  
R5, 0.6383362267292907, 0.6350913287641726, 0.6416144535613323, 0.6295021776586353, 0.4756525137798586, 0.11531409003699744, 0.3071193955471258, 0.14561010260853563, 2000, 500, 2023-06-12 14:59:56.505209  
NG6, 0.7103913782687363, 0.7002426847622616, 0.7208385701861331, 0.6411201618968329, 0.4068774537683166, 0.02511997488109185, 0.6768328475326663, 0.5796584548371099, 2000, 2400, 2023-06-12 15:00:10.815017  
NG6, 0.7250606816146443, 0.7093189366689071, 0.7415169902366207, 0.5987402205960661, 0.4068774537683166, 0.02511997488109185, 0.677675037012076, 0.5800586787951009, 2000, 2400, 2023-06-12 15:00:20.710124  
R6, 0.560995881005522, 0.49599095191007686, 0.6456099880464956, 0.3410835091278335, 0.4690728893292945, 0.06962316220562167, 0.24206496896766866, 0.037081262152701536, 2000, 1197, 2023-06-12 15:00:22.510160  
R6, 0.6750880757773923, 0.6502909513614376, 0.7018513183317243, 0.5672485646040579, 0.4690728893292945, 0.06962316220562167, 0.24206496896766863, 0.037081262152701536, 2000, 1197, 2023-06-12 15:00:24.076527  
crisis3, 0.29219670646946183, 0.2780134775394327, 0.30790488550617445, 0.14957812741640494, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, 2023-06-12 15:03:16.586718  
crisis3, 0.4130524962694891, 0.363145388758746, 0.47886263689716385, 0.23567460756584388, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, 2023-06-12 15:03:17.578508  
NG3, 0.8372263467884534, 0.8365208434493242, 0.8379330411441568, 0.8808978741602873, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, 2023-06-12 15:03:24.543450  
NG3, 0.8743024784511368, 0.8742768102144934, 0.8743281481950321, 0.9215185061702428, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, 2023-06-12 15:03:26.027208  
crisis4, 0.6001899367751359, 0.5669196699893573, 0.6376086600019858, 0.4300003480931132, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, 2023-06-12 15:03:32.908463  
crisis4, 0.592357936990071, 0.558915147236336, 0.630057545092427, 0.41813563060567677, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, 2023-06-12 15:03:34.544883  
R4, 0.6138767941614, 0.5643627860643013, 0.6729145191352074, 0.45684107291708853, 0.4460295891580175, 0.07321746301291925, 0.43311982379883335, 0.2518157413220778, 1000, 800, 2023-06-12 15:03:35.286918  
R4, 0.7801441350089243, 0.7747081054584529, 0.7856569915188009, 0.7758710081999692, 0.4460295891580175, 0.07321746301291925, 0.43311982379883335, 0.2518157413220778, 1000, 800, 2023-06-12 15:03:35.917668  
NG5, 0.7525375868984661, 0.7443352264781553, 0.7609227369198579, 0.6961376379932306, 0.36409790028471983, 0.025599236800021914, 0.6099308914347776, 0.5169405972607832, 1000, 2000, 2023-06-12 15:03:41.345252  
NG5, 0.7227703884605918, 0.7103685039443246, 0.7356130010440004, 0.6272708063298389, 0.36409790028471983, 0.025599236800021914, 0.6099308914347776, 0.5169405972607832, 1000, 2000, 2023-06-12 15:03:45.641413  
R5, 0.5498017315755228, 0.5198141128828339, 0.5834610882632947, 0.42678092382790345, 0.47382944884649114, 0.11337275509563753, 0.3024432543437206, 0.13978698541144677, 1000, 500, 2023-06-12 15:03:46.157462  
R5, 0.49678434402596633, 0.4759861030875346, 0.5194831928764401, 0.42641246223933515, 0.47382944884649114, 0.11337275509563753, 0.30244325434372066, 0.13978698541144677, 1000, 500, 2023-06-12 15:03:46.561508  
NG6, 0.6346352015580868, 0.6210863503388855, 0.648788365662093, 0.5314753538557121, 0.4025369469853805, 0.026293985347148125, 0.6390894595075095, 0.5436943492754908, 1000, 2400, 2023-06-12 15:03:54.666668  
NG6, 0.6788463303815032, 0.6650302753303579, 0.6932486237893429, 0.5757119506784927, 0.4025369469853805, 0.026293985347148125, 0.6390894595075095, 0.5436943492754908, 1000, 2400, 2023-06-12 15:04:02.008618  
R6, 0.5039521890433047, 0.4592113993500742, 0.5583522318451268, 0.3023726536881458, 0.4665895574064846, 0.06472566137970855, 0.3257699970352392, 0.0848087658358895, 1000, 1197, 2023-06-12 15:04:03.297446  
R6, 0.5057068166516573, 0.4435589673780451, 0.588107642233517, 0.26540871148221445, 0.4665895574064846, 0.06472566137970855, 0.3257699970352392, 0.0848087658358895, 1000, 1197, 2023-06-12 15:04:04.382224  
crisis3, 0.40880543760099414, 0.38480414755676534, 0.4359999502696704, 0.31951442303562, 0.2514511310596486, 0.01790144528042454, 0.02403476323136369, 0.0005025176447310828, 200, 1500, 2023-06-12 15:04:49.873548  
crisis3, 0.49279956155842847, 0.4598979143606385, 0.5307715968208289, 0.3475699872165406, 0.2514511310596486, 0.01790144528042454, 0.02403476323136369, 0.0005025176447310828, 200, 1500, 2023-06-12 15:04:51.171013  
NG3, 0.7593261769137403, 0.7584431344009039, 0.7602112780463158, 0.815454019444739, 0.3126038501213473, 0.03170274963855218, 0.06888486429683227, 0.0028250012611612772, 200, 1200, 2023-06-12 15:04:52.479329  
NG3, 0.7725337901081072, 0.7722549488370628, 0.7728128328166146, 0.8366582041638201, 0.3126038501213473, 0.03170274963855218, 0.06888486429683227, 0.0028250012611612772, 200, 1200, 2023-06-12 15:04:53.579726  
crisis4, 0.6052813219115128, 0.571649529212561, 0.6431177993387968, 0.43869139904144167, 0.3103252455271747, 0.023807690281699385, 0.03509761980732269, 0.0004299329541059409, 200, 2000, 2023-06-12 15:04:55.685278  
crisis4, 0.5354328156535427, 0.49931235226183307, 0.5771867450319491, 0.3573761967821082, 0.3103252455271747, 0.023807690281699385, 0.03509761980732269, 0.0004299329541059409, 200, 2000, 2023-06-12 15:04:57.460660  
R4, 0.6932265642399295, 0.6847134178192446, 0.7019540662740191, 0.6502172880808041, 0.43280657037862424, 0.07984425919205825, 0.3089738669813208, 0.09634958461674106, 200, 800, 2023-06-12 15:04:57.968898  
R4, 0.806241218572683, 0.802993896482456, 0.809514911768696, 0.8090215821023253, 0.43280657037862424, 0.07984425919205825, 0.3089738669813208, 0.09634958461674106, 200, 800, 2023-06-12 15:04:58.385010  
NG5, 0.6239386004275429, 0.6033082587837953, 0.6460298211738547, 0.48891407826547356, 0.36016465020908267, 0.03321879840254678, 0.551743061029872, 0.46406795074106905, 200, 2000, 2023-06-12 15:05:02.900244  
NG5, 0.6199837429563712, 0.6016191623894908, 0.6395047921731628, 0.5033142349723218, 0.36016465020908267, 0.03321879840254678, 0.551743061029872, 0.46406795074106905, 200, 2000, 2023-06-12 15:05:06.975276  
R5, 0.6260801435116036, 0.6007911822973109, 0.653591621115475, 0.5393156783293825, 0.47175142096294004, 0.12016562474874887, 0.4445098112621016, 0.29229192155602834, 200, 500, 2023-06-12 15:05:07.550204  
R5, 0.7429828021858704, 0.739541131462082, 0.746456656325088, 0.7394394005713423, 0.47175142096294004, 0.12016562474874887, 0.4445098112621017, 0.29229192155602834, 200, 500, 2023-06-12 15:05:07.879142  
NG6, 0.5067571325070865, 0.48932804827343696, 0.525473665963439, 0.3769388131609692, 0.36948899783798966, 0.03696829847262043, 0.5249268901545989, 0.31236837733387296, 200, 2400, 2023-06-12 15:05:13.966464  
NG6, 0.4513660000822475, 0.42108716127601326, 0.48633669434161014, 0.27663324281858753, 0.36948899783798966, 0.03696829847262043, 0.5249268901545989, 0.31236837733387296, 200, 2400, 2023-06-12 15:05:19.678510  
R6, 0.7143030186474907, 0.7090739038116334, 0.7196098314144682, 0.6845677338294179, 0.45053621064266874, 0.07664886801447965, 0.2526603508558068, 0.045016044131287125, 200, 1197, 2023-06-12 15:05:20.667043  
R6, 0.59571391296368, 0.5819658884574354, 0.6101272040509857, 0.5032997976239159, 0.45053621064266874, 0.07664886801447965, 0.2526603508558068, 0.045016044131287125, 200, 1197, 2023-06-12 15:05:21.490627  
crisis3, 0.45334703318705205, 0.416735621668872, 0.4970108524054528, 0.2880403487215764, 0.2514511310596486, 0.01790144528042454, 0.02403476323136369, 0.0005025176447310828, 200, 1500, 2023-06-13 11:38:13.241862  
crisis3, 0.6230896671110584, 0.6091191947902838, 0.6377160228757417, 0.5890745535575795, 0.2514511310596486, 0.01790144528042454, 0.02403476323136369, 0.0005025176447310828, 200, 1500, 2023-06-13 11:38:14.261336  
NG3, 0.7889731439231596, 0.7887145351112372, 0.7892319223793587, 0.8504823206719084, 0.3126038501213473, 0.03170274963855218, 0.06888486429683227, 0.0028250012611612772, 200, 1200, 2023-06-13 11:38:29.383190  
NG3, 0.7528195663991682, 0.749866364791558, 0.7557961211893572, 0.7839023100275737, 0.3126038501213473, 0.03170274963855218, 0.06888486429683227, 0.0028250012611612772, 200, 1200, 2023-06-13 11:38:30.285223  
crisis4, 0.5096992955585316, 0.4943654554226149, 0.526014810581076, 0.3485232619823581, 0.3103252455271747, 0.023807690281699385, 0.03509761980732269, 0.0004299329541059409, 200, 2000, 2023-06-13 11:38:36.517520  
crisis4, 0.6002055557838687, 0.5660644747548244, 0.6387292732134946, 0.43384102083526904, 0.3103252455271747, 0.023807690281699385, 0.03509761980732269, 0.0004299329541059409, 200, 2000, 2023-06-13 11:38:37.819327  
R4, 0.7434415738218395, 0.7375316261634742, 0.7494470011040343, 0.7237631200132894, 0.43280657037862424, 0.07984425919205825, 0.3089738669813208, 0.09634958461674106, 200, 800, 2023-06-13 11:38:43.694858  
R4, 0.3723962904536988, 0.3095544977183195, 0.46725176415836134, 0.17055469107699045, 0.43280657037862424, 0.07984425919205825, 0.3089738669813208, 0.09634958461674106, 200, 800, 2023-06-13 11:38:44.061093  
NG5, 0.6259292482395501, 0.6054807207795401, 0.6478072432743622, 0.4924153104782289, 0.36016465020908267, 0.03321879840254678, 0.551743061029872, 0.46406795074106905, 200, 2000, 2023-06-13 11:39:15.546818  
NG5, 0.6229810871246066, 0.6021657778509004, 0.645286984687406, 0.48702622511341015, 0.36016465020908267, 0.03321879840254678, 0.5517430610298717, 0.46406795074106905, 200, 2000, 2023-06-13 11:39:18.566632  
R5, 0.5935148688642211, 0.5705715048473103, 0.6183806978282921, 0.5171958594164342, 0.47175142096294004, 0.12016562474874887, 0.4445098112621016, 0.29229192155602834, 200, 500, 2023-06-13 11:39:23.377882  
R5, 0.5960353912557411, 0.5782758716720493, 0.6149203036479334, 0.5580744676561049, 0.47175142096294004, 0.12016562474874887, 0.4445098112621016, 0.29229192155602834, 200, 500, 2023-06-13 11:39:23.662195  
NG6, 0.5076837420473875, 0.48914786705659424, 0.5276797526380669, 0.37050930628928597, 0.36948899783798966, 0.03696829847262043, 0.5249268901545988, 0.31236837733387296, 200, 2400, 2023-06-13 11:39:52.512011  
NG6, 0.4922410614315933, 0.4734177096106513, 0.5126232472666559, 0.34689299850417066, 0.36948899783798966, 0.03696829847262043, 0.5249268901545989, 0.31236837733387296, 200, 2400, 2023-06-13 11:39:56.962165  
R6, 0.6494727343787283, 0.6317837496712088, 0.6681807806312565, 0.5709508582190685, 0.45053621064266874, 0.07664886801447965, 0.25266035085580674, 0.045016044131287125, 200, 1197, 2023-06-13 11:40:07.126511  
R6, 0.6341268073361187, 0.6193359843693733, 0.6496413758821886, 0.5512410145899769, 0.45053621064266874, 0.07664886801447965, 0.2526603508558068, 0.045016044131287125, 200, 1197, 2023-06-13 11:40:07.840171  
NG6, 0.4978458222165042, 0.46655686665965196, 0.533633150912595, 0.28455330097584236, 0.36948899783798966, 0.03696829847262043, 0.524926890154599, 0.31236837733387296, 200, 2400, 2023-06-13 11:57:47.143107  
NG6, 0.5379192237403684, 0.4993156523824345, 0.5829920663979529, 0.30103489172903075, 0.36948899783798966, 0.03696829847262043, 0.524926890154599, 0.31236837733387296, 200, 2400, 2023-06-13 11:57:51.156159  
